,SMILES,MolObject,MutationList,HeavyAtoms,ID,Charge,MolMass,Predecessor,Score,Density100C,DViscosity40C,DViscosity100C,KViscosity40C,KViscosity100C,KVI,DVI,ThermalConductivity,Toxicity,SCScore,Density40C,SimilarityScore
0,CCC=CCCCCC(CCCCCCCCCC)CCCCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x00000192E62D1FC0>,"[None, None, 'RemoveFragment']",29,Generation_1_Molecule_0,0.00000,406.78299999999996,"[None, None, 'RemoveFragment']",,,,,,,,,,,,,
1,OCCCCCCCCCCCCCC(c1ccccc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000192E62D2110>,"[None, None, 'AddAtom']",27,Generation_1_Molecule_1,-0.11500,366.58900000000006,"[None, None, 'AddAtom']",,,,,,,,,,,,,
2,CC(C)C=CC(C)CCCC(C)CCCC(C)C,<rdkit.Chem.rdchem.Mol object at 0x00000192E62D2260>,"[None, None, 'RemoveFragment']",18,Generation_1_Molecule_2,0.00000,252.486,"[None, None, 'RemoveFragment']",,,,,,,,,,,,,
3,CC=CCCCCCCCC(CCCCCCCCCC)CCCCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x00000192E62D1D90>,"[None, None, 'ReplaceBond']",31,Generation_1_Molecule_3,0.00000,434.83699999999993,"[None, None, 'ReplaceBond']",,,,,,,,,,,,,
4,CCCCCCCCCCCCCCCC(C=C1CCCCC1)CC1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x00000192E62D21F0>,"[None, None, 'ReplaceBond']",30,Generation_1_Molecule_4,0.00000,416.77799999999996,"[None, None, 'ReplaceBond']",,,,,,,,,,,,,
5,Oc1cccc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x00000192E62D1EE0>,"[None, None, 'ReplaceAtom']",11,Generation_1_Molecule_5,0.00000,144.17299999999997,"[None, None, 'ReplaceAtom']",,,,,,,,,,,,,
6,CCCCCCCCCCCCC(CCOCCCCCCCCC)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000192E62D1E70>,"[None, None, 'ReplaceAtom']",31,Generation_1_Molecule_6,0.00000,430.761,"[None, None, 'ReplaceAtom']",,,,,,,,,,,,,
7,CCCCCCCCCCCCCC(CC)CCCCCC(c1ccccc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000192E62D2180>,"[None, None, 'AddFragment']",34,Generation_1_Molecule_7,-0.11500,462.806,"[None, None, 'AddFragment']",,,,,,,,,,,,,
8,CCCCCCOCCCCCCC(c1ccccc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000192E62D1B60>,"[None, None, 'ReplaceAtom']",26,Generation_1_Molecule_8,-0.11500,352.562,"[None, None, 'ReplaceAtom']",,,,,,,,,,,,,
9,CCCCCCCCCCC(CCCCCCCCC)CCCCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x00000192E62D2340>,"[None, None, 'RemoveAtom']",30,Generation_1_Molecule_9,0.00000,422.82599999999996,"[None, None, 'RemoveAtom']",,,,,,,,,,,,,
