,SMILES,MolObject,MutationList,HeavyAtoms,ID,Charge,MolMass,Predecessor,Score,Density100C,DViscosity40C,DViscosity100C,KViscosity40C,KViscosity100C,KVI,DVI,ThermalConductivity,PourPoint,DiffusionCoefficient,Density40C
0,CCCCCCCCO,<rdkit.Chem.rdchem.Mol object at 0x14e09624a2e0>,"['AddAtom', 'InsertAromatic', 'ReplaceAtom']",9,Generation_1_Molecule_0,0.00000,130.231,<rdkit.Chem.rdchem.Mol object at 0x14e09621ff20>,,,,,,,,,,,,
1,CCCCO,<rdkit.Chem.rdchem.Mol object at 0x14e09624a430>,"[None, 'ReplaceAtom', 'ReplaceBond']",5,Generation_1_Molecule_1,-0.00000,74.12299999999999,<rdkit.Chem.rdchem.Mol object at 0x14e09621fd60>,,,,,,,,,,,,
2,CCCC(O)(CC)CC,<rdkit.Chem.rdchem.Mol object at 0x14e09624a660>,"['RemoveAtom', 'RemoveAtom', 'AddAtom']",9,Generation_1_Molecule_2,0.00000,130.231,<rdkit.Chem.rdchem.Mol object at 0x14e09621fe40>,,,,,,,,,,,,
3,CCCOC,<rdkit.Chem.rdchem.Mol object at 0x14e09624a740>,"[None, 'ReplaceAtom', 'InsertAromatic']",5,Generation_1_Molecule_3,-0.00000,74.12299999999999,<rdkit.Chem.rdchem.Mol object at 0x14e09621fd60>,,,,,,,,,,,,
4,CCCCCC,<rdkit.Chem.rdchem.Mol object at 0x14e09624a820>,"[None, 'RemoveAtom', 'AddAtom']",6,Generation_1_Molecule_4,-0.00000,86.178,<rdkit.Chem.rdchem.Mol object at 0x14e09624a4a0>,,,,,,,,,,,,
5,Oc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x14e09624a9e0>,"[None, 'AddAtom', 'AddAtom']",7,Generation_1_Molecule_5,0.00000,94.113,<rdkit.Chem.rdchem.Mol object at 0x14e09624a120>,,,,,,,,,,,,
6,CCCCCC(O)CC,<rdkit.Chem.rdchem.Mol object at 0x14e09624a580>,"['RemoveAtom', 'ReplaceBond', 'AddAtom']",9,Generation_1_Molecule_6,0.00000,130.231,<rdkit.Chem.rdchem.Mol object at 0x14e09621ff90>,,,,,,,,,,,,
7,CCCCCO,<rdkit.Chem.rdchem.Mol object at 0x14e09624a970>,"[None, 'ReplaceAtom', 'RemoveAtom']",6,Generation_1_Molecule_7,-0.00000,88.14999999999999,<rdkit.Chem.rdchem.Mol object at 0x14e09624a040>,,,,,,,,,,,,
8,CC=CCCCCC,<rdkit.Chem.rdchem.Mol object at 0x14e09624a5f0>,"[None, 'ReplaceBond', 'RemoveAtom']",8,Generation_1_Molecule_8,0.00000,112.216,<rdkit.Chem.rdchem.Mol object at 0x14e09621ff90>,,,,,,,,,,,,
9,CCCCCOCC,<rdkit.Chem.rdchem.Mol object at 0x14e09624aa50>,"['RemoveAtom', 'ReplaceAtom', 'AddAtom']",8,Generation_1_Molecule_9,-0.00000,116.204,<rdkit.Chem.rdchem.Mol object at 0x14e09621ff90>,,,,,,,,,,,,
10,CCCC(CC)CCC,<rdkit.Chem.rdchem.Mol object at 0x14e09624a890>,"['RemoveAtom', 'RemoveAtom', 'ReplaceBond']",9,Generation_1_Molecule_10,0.00000,128.259,<rdkit.Chem.rdchem.Mol object at 0x14e09621fe40>,,,,,,,,,,,,
11,CCCCCO,<rdkit.Chem.rdchem.Mol object at 0x14e09624a7b0>,"[None, 'ReplaceAtom', 'RemoveAtom']",6,Generation_1_Molecule_11,-0.00000,88.14999999999999,<rdkit.Chem.rdchem.Mol object at 0x14e09621fdd0>,,,,,,,,,,,,
12,CCCCCCCO,<rdkit.Chem.rdchem.Mol object at 0x14e09624a900>,"['AddAtom', 'RemoveAtom', 'ReplaceAtom']",8,Generation_1_Molecule_12,0.00000,116.204,<rdkit.Chem.rdchem.Mol object at 0x14e09624a0b0>,,,,,,,,,,,,
