,SMILES,MolObject,MutationList,HeavyAtoms,ID,Charge,MolMass,Predecessor,Score,Density100C,DViscosity40C,DViscosity100C,KViscosity40C,KViscosity100C,KVI,DVI,ThermalConductivity,PourPoint,DiffusionCoefficient,Density40C
0,CCC=C(CC)CC,<rdkit.Chem.rdchem.Mol object at 0x0000014110D728F0>,"[None, None, 'ReplaceBond']",8,Generation_1_Molecule_0,0.00000,112.216,<rdkit.Chem.rdchem.Mol object at 0x0000014110D72650>,1003,,,,,,,,,,,
1,CCCc1ccccc1CCC,<rdkit.Chem.rdchem.Mol object at 0x0000014110D72A40>,"[None, 'InsertAromatic', 'InsertAromatic']",12,Generation_1_Molecule_1,0.00000,162.276,<rdkit.Chem.rdchem.Mol object at 0x0000014110D72730>,2991,,,,,,,,,,,
2,CC=CC(CC)CC,<rdkit.Chem.rdchem.Mol object at 0x0000014110D72B90>,"[None, 'ReplaceBond', 'RemoveAtom']",8,Generation_1_Molecule_2,0.00000,112.216,<rdkit.Chem.rdchem.Mol object at 0x0000014110D72AB0>,4089,,,,,,,,,,,
3,C=CCCCC,<rdkit.Chem.rdchem.Mol object at 0x0000014110D72C00>,"[None, None, 'ReplaceBond']",6,Generation_1_Molecule_3,0.04500,84.162,<rdkit.Chem.rdchem.Mol object at 0x0000014110D72B20>,1437,,,,,,,,,,,
4,CCCCCCCCO,<rdkit.Chem.rdchem.Mol object at 0x0000014110D72CE0>,"['ReplaceAtom', 'ReplaceAtom', 'AddAtom']",9,Generation_1_Molecule_4,0.00000,130.231,<rdkit.Chem.rdchem.Mol object at 0x0000014110D729D0>,4695,,,,,,,,,,,
5,CCCC(CC)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x0000014110D726C0>,"['AddFragment', 'RemoveAtom', 'AddFragment']",9,Generation_1_Molecule_5,0.00000,128.259,<rdkit.Chem.rdchem.Mol object at 0x0000014110D72810>,4763,,,,,,,,,,,
6,C=CCCCC,<rdkit.Chem.rdchem.Mol object at 0x0000014110D72F10>,"[None, None, 'ReplaceBond']",6,Generation_1_Molecule_6,0.04500,84.162,<rdkit.Chem.rdchem.Mol object at 0x0000014110D72960>,911,,,,,,,,,,,
7,CCCc1ccccc1C(C)CC,<rdkit.Chem.rdchem.Mol object at 0x0000014110D72F80>,"[None, 'InsertAromatic', 'RemoveAtom']",13,Generation_1_Molecule_7,0.00000,176.303,<rdkit.Chem.rdchem.Mol object at 0x0000014110D72E30>,2475,,,,,,,,,,,
8,CCC(CC)CC(C)=O,<rdkit.Chem.rdchem.Mol object at 0x0000014110D72EA0>,"['ReplaceAtom', 'RemoveAtom', 'AddFragment']",9,Generation_1_Molecule_8,-0.00000,128.215,<rdkit.Chem.rdchem.Mol object at 0x0000014110D72DC0>,2490,,,,,,,,,,,
9,CCC=C(CC)CC,<rdkit.Chem.rdchem.Mol object at 0x0000014110D731B0>,"['RemoveAtom', 'ReplaceAtom', 'RemoveAtom']",8,Generation_1_Molecule_9,0.00000,112.216,<rdkit.Chem.rdchem.Mol object at 0x0000014110D72C70>,4941,,,,,,,,,,,
