,SMILES,MolObject,MutationList,HeavyAtoms,ID,Charge,MolMass,Predecessor,Score,Density100C,DViscosity40C,DViscosity100C,KViscosity40C,KViscosity100C,KVI,DVI,ThermalConductivity,PourPoint,DiffusionCoefficient,Density40C
0,CCCCOCC,<rdkit.Chem.rdchem.Mol object at 0x000001C589532810>,"[None, 'ReplaceAtom', 'AddAtom']",7,Generation_1_Molecule_0,-0.00000,102.17699999999999,<rdkit.Chem.rdchem.Mol object at 0x000001C589532650>,1425,,,,,,,,,,,
1,Cc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001C589532880>,"[None, None, 'AddAtom']",7,Generation_1_Molecule_1,0.00000,92.14099999999999,<rdkit.Chem.rdchem.Mol object at 0x000001C589532730>,896,,,,,,,,,,,
2,CCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x000001C589532C70>,"['RemoveAtom', 'RemoveAtom', 'AddAtom']",8,Generation_1_Molecule_2,-0.00000,114.232,<rdkit.Chem.rdchem.Mol object at 0x000001C589532960>,3230,,,,,,,,,,,
3,C=C(C)CCC,<rdkit.Chem.rdchem.Mol object at 0x000001C589532B20>,"[None, 'AddAtom', 'ReplaceAtom']",6,Generation_1_Molecule_3,-0.00000,84.162,<rdkit.Chem.rdchem.Mol object at 0x000001C589532D50>,2131,,,,,,,,,,,
4,CCCCCC,<rdkit.Chem.rdchem.Mol object at 0x000001C589532A40>,"[None, 'RemoveAtom', 'AddAtom']",6,Generation_1_Molecule_4,-0.00000,86.178,<rdkit.Chem.rdchem.Mol object at 0x000001C5895328F0>,2028,,,,,,,,,,,
5,CCCCCCC=O,<rdkit.Chem.rdchem.Mol object at 0x000001C589532DC0>,"[None, None, 'AddAtom']",8,Generation_1_Molecule_5,-0.00000,114.18799999999999,<rdkit.Chem.rdchem.Mol object at 0x000001C589532EA0>,212,,,,,,,,,,,
6,CCC=CCCCC,<rdkit.Chem.rdchem.Mol object at 0x000001C589532E30>,"['RemoveAtom', 'AddFragment', 'AddAtom']",8,Generation_1_Molecule_6,0.00000,112.216,<rdkit.Chem.rdchem.Mol object at 0x000001C589532F10>,3127,,,,,,,,,,,
7,CCCCCC(O)CCC,<rdkit.Chem.rdchem.Mol object at 0x000001C589532CE0>,"[None, None, 'AddAtom']",10,Generation_1_Molecule_7,0.00000,144.25799999999998,<rdkit.Chem.rdchem.Mol object at 0x000001C589532F80>,1161,,,,,,,,,,,
8,CCCCCO,<rdkit.Chem.rdchem.Mol object at 0x000001C5895329D0>,"['ReplaceAtom', 'ReplaceBond', 'AddAtom']",6,Generation_1_Molecule_8,-0.00000,88.14999999999999,<rdkit.Chem.rdchem.Mol object at 0x000001C589532B90>,3629,,,,,,,,,,,
9,C=C(CC)CCC,<rdkit.Chem.rdchem.Mol object at 0x000001C5895331B0>,"[None, None, 'ReplaceBond']",7,Generation_1_Molecule_9,-0.00000,98.189,<rdkit.Chem.rdchem.Mol object at 0x000001C589533060>,303,,,,,,,,,,,
10,CCCOCC,<rdkit.Chem.rdchem.Mol object at 0x000001C589532AB0>,"[None, 'ReplaceAtom', 'ReplaceAtom']",6,Generation_1_Molecule_10,-0.00000,88.14999999999999,<rdkit.Chem.rdchem.Mol object at 0x000001C589533220>,3746,,,,,,,,,,,
11,CCCCCC,<rdkit.Chem.rdchem.Mol object at 0x000001C589533370>,"[None, None, 'RemoveAtom']",6,Generation_1_Molecule_11,-0.00000,86.178,<rdkit.Chem.rdchem.Mol object at 0x000001C5895333E0>,1156,,,,,,,,,,,
12,CCC(CC)CCO,<rdkit.Chem.rdchem.Mol object at 0x000001C589533450>,"[None, None, 'ReplaceAtom']",8,Generation_1_Molecule_12,0.00000,116.204,<rdkit.Chem.rdchem.Mol object at 0x000001C589533530>,437,,,,,,,,,,,
13,C=CCCCCC,<rdkit.Chem.rdchem.Mol object at 0x000001C589533300>,"[None, 'AddAtom', 'AddAtom']",7,Generation_1_Molecule_13,0.04500,98.189,<rdkit.Chem.rdchem.Mol object at 0x000001C589532FF0>,1961,,,,,,,,,,,
14,C=C(C)C(C)CCC,<rdkit.Chem.rdchem.Mol object at 0x000001C589533140>,"['ReplaceBond', 'AddAtom', 'RemoveAtom']",8,Generation_1_Molecule_14,-0.00000,112.216,<rdkit.Chem.rdchem.Mol object at 0x000001C589532C00>,2430,,,,,,,,,,,
15,CC=CCCC,<rdkit.Chem.rdchem.Mol object at 0x000001C5895337D0>,"[None, 'RemoveAtom', 'RemoveAtom']",6,Generation_1_Molecule_15,-0.00000,84.162,<rdkit.Chem.rdchem.Mol object at 0x000001C589533290>,2915,,,,,,,,,,,
16,CCCOCCC,<rdkit.Chem.rdchem.Mol object at 0x000001C5895338B0>,"['AddAtom', 'RemoveAtom', 'AddFragment']",7,Generation_1_Molecule_16,0.00000,102.17699999999999,<rdkit.Chem.rdchem.Mol object at 0x000001C589533920>,4112,,,,,,,,,,,
17,CCC(=O)C(C)CC,<rdkit.Chem.rdchem.Mol object at 0x000001C589533990>,"[None, None, 'AddAtom']",8,Generation_1_Molecule_17,-0.00000,114.18799999999999,<rdkit.Chem.rdchem.Mol object at 0x000001C589533760>,1393,,,,,,,,,,,
18,CCCOC,<rdkit.Chem.rdchem.Mol object at 0x000001C589533840>,"['AddFragment', 'AddFragment', 'AddAtom']",5,Generation_1_Molecule_18,-0.00000,74.12299999999999,<rdkit.Chem.rdchem.Mol object at 0x000001C589533680>,3798,,,,,,,,,,,
19,C=CCCC,<rdkit.Chem.rdchem.Mol object at 0x000001C589533610>,"['ReplaceAtom', 'AddAtom', 'AddAtom']",5,Generation_1_Molecule_19,0.04500,70.13499999999999,<rdkit.Chem.rdchem.Mol object at 0x000001C5895334C0>,2724,,,,,,,,,,,
20,CC=CCCC,<rdkit.Chem.rdchem.Mol object at 0x000001C5895336F0>,"['RemoveAtom', 'ReplaceAtom', 'RemoveAtom']",6,Generation_1_Molecule_20,-0.00000,84.162,<rdkit.Chem.rdchem.Mol object at 0x000001C589533A70>,2214,,,,,,,,,,,
21,CCCCC,<rdkit.Chem.rdchem.Mol object at 0x000001C589533B50>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",5,Generation_1_Molecule_21,-0.00000,72.151,<rdkit.Chem.rdchem.Mol object at 0x000001C589533AE0>,3463,,,,,,,,,,,
22,CCCC=CCCCC,<rdkit.Chem.rdchem.Mol object at 0x000001C589533D80>,"['RemoveAtom', 'RemoveAtom', 'ReplaceBond']",9,Generation_1_Molecule_22,0.00000,126.243,<rdkit.Chem.rdchem.Mol object at 0x000001C589533D10>,4748,,,,,,,,,,,
23,CCCC(O)CC,<rdkit.Chem.rdchem.Mol object at 0x000001C589533BC0>,"['ReplaceAtom', 'AddFragment', 'RemoveAtom']",7,Generation_1_Molecule_23,-0.00000,102.17699999999999,<rdkit.Chem.rdchem.Mol object at 0x000001C589533DF0>,3710,,,,,,,,,,,
