# Time-averaged data for fix dave
# TimeStep v_rho
251000 0.0775864
252000 0.0822483
253000 0.0926238
254000 0.109749
255000 0.137862
256000 0.185661
257000 0.23868
258000 0.281869
259000 0.320921
260000 0.354752
261000 0.384788
262000 0.411277
263000 0.435894
264000 0.456646
265000 0.476879
266000 0.496056
267000 0.513254
268000 0.528422
269000 0.542734
270000 0.554797
271000 0.565387
272000 0.575084
273000 0.58392
274000 0.593178
275000 0.60127
276000 0.608829
277000 0.61621
278000 0.622973
279000 0.628937
280000 0.634042
281000 0.638758
282000 0.643717
283000 0.648913
284000 0.653342
285000 0.65715
286000 0.660883
287000 0.664458
288000 0.667724
289000 0.671111
290000 0.674008
291000 0.677349
292000 0.6804
293000 0.683077
294000 0.685883
295000 0.688492
296000 0.691284
297000 0.693976
298000 0.696482
299000 0.698914
300000 0.701259
301000 0.703591
302000 0.705904
303000 0.708241
304000 0.71024
305000 0.712
306000 0.713648
307000 0.714917
308000 0.716396
309000 0.717926
310000 0.719315
311000 0.720648
312000 0.72218
313000 0.723518
314000 0.724886
315000 0.72614
316000 0.727388
317000 0.728686
318000 0.729997
319000 0.731131
320000 0.732286
321000 0.733544
322000 0.734817
323000 0.735901
324000 0.736891
325000 0.737702
326000 0.738583
327000 0.739396
328000 0.740286
329000 0.741168
330000 0.742086
331000 0.742881
332000 0.74366
333000 0.744431
334000 0.745231
335000 0.74606
336000 0.74682
337000 0.747488
338000 0.748207
339000 0.748999
340000 0.749872
341000 0.750688
342000 0.751471
343000 0.752189
344000 0.752915
345000 0.753771
346000 0.754536
347000 0.755188
348000 0.755895
349000 0.756573
350000 0.757185
351000 0.757754
352000 0.758267
353000 0.758748
354000 0.759135
355000 0.759523
356000 0.759874
357000 0.760176
358000 0.760456
359000 0.760645
360000 0.760936
361000 0.761232
362000 0.761665
363000 0.76212
364000 0.762493
365000 0.762836
366000 0.763252
367000 0.763765
368000 0.764195
369000 0.764578
370000 0.765125
371000 0.765671
372000 0.766093
373000 0.766499
374000 0.766914
375000 0.767354
376000 0.767752
377000 0.768183
378000 0.768653
379000 0.76907
380000 0.769417
381000 0.769711
382000 0.76997
383000 0.770308
384000 0.770621
385000 0.770941
386000 0.771229
387000 0.771635
388000 0.772043
389000 0.772517
390000 0.772926
391000 0.773246
392000 0.773431
393000 0.773648
394000 0.773966
395000 0.774284
396000 0.774655
397000 0.774979
398000 0.775324
399000 0.775625
400000 0.775955
401000 0.776217
402000 0.776582
403000 0.776806
404000 0.777119
405000 0.777389
406000 0.777715
407000 0.777931
408000 0.778211
409000 0.778574
410000 0.778897
411000 0.779187
412000 0.779491
413000 0.779796
414000 0.780135
415000 0.780457
416000 0.780752
417000 0.780984
418000 0.781177
419000 0.781404
420000 0.781551
421000 0.781707
422000 0.781879
423000 0.782047
424000 0.78217
425000 0.782349
426000 0.782495
427000 0.78268
428000 0.782855
429000 0.783006
430000 0.783182
431000 0.783342
432000 0.783509
433000 0.783636
434000 0.783693
435000 0.783777
436000 0.783862
437000 0.783955
438000 0.784082
439000 0.784214
440000 0.7844
441000 0.784574
442000 0.784727
443000 0.784918
444000 0.785092
445000 0.785191
446000 0.785333
447000 0.785505
448000 0.785702
449000 0.785886
450000 0.786036
451000 0.786168
452000 0.786285
453000 0.786406
454000 0.786561
455000 0.786664
456000 0.786788
457000 0.786954
458000 0.787132
459000 0.787218
460000 0.787295
461000 0.787362
462000 0.787504
463000 0.78763
464000 0.787726
465000 0.787849
466000 0.787939
467000 0.788017
468000 0.788139
469000 0.788278
470000 0.78837
471000 0.788452
472000 0.788522
473000 0.788595
474000 0.788693
475000 0.788826
476000 0.788918
477000 0.789023
478000 0.789091
479000 0.789202
480000 0.789357
481000 0.789497
482000 0.789606
483000 0.789739
484000 0.789851
485000 0.789981
486000 0.790082
487000 0.790177
488000 0.790261
489000 0.790387
490000 0.790465
491000 0.79056
492000 0.790669
493000 0.790789
494000 0.790932
495000 0.791059
496000 0.791173
497000 0.791296
498000 0.791419
499000 0.791541
500000 0.791652
501000 0.79175
502000 0.791869
503000 0.791992
504000 0.792114
505000 0.792243
506000 0.792316
507000 0.792393
508000 0.792476
509000 0.792575
510000 0.792713
511000 0.792828
512000 0.792993
513000 0.793126
514000 0.793268
515000 0.793433
516000 0.793565
517000 0.793657
518000 0.793714
519000 0.793781
520000 0.793878
521000 0.793959
522000 0.794048
523000 0.79416
524000 0.794269
525000 0.79437
526000 0.794443
527000 0.794542
528000 0.794627
529000 0.794712
530000 0.794819
531000 0.794944
532000 0.795073
533000 0.7952
534000 0.795328
535000 0.795469
536000 0.795614
537000 0.795735
538000 0.795863
539000 0.795966
540000 0.796053
541000 0.796137
542000 0.796219
543000 0.796287
544000 0.796415
545000 0.796553
546000 0.796683
547000 0.796802
