Radius,Bits,CV_RMSE,Test_RMSE,Avg_Prediction_Time
1,256,0.7376842403944789,0.7773471046962637,2.664327621459961e-05
1,512,0.7352462922837866,0.766857432028321,2.8845809754871187e-05
1,1024,0.7477462699415515,0.8117548452374322,3.122148059663319e-05
1,2048,0.7461414887114697,0.8323024860395081,3.6875406901041664e-05
1,4096,0.7569909621984603,0.8116278229912604,4.6145348321823844e-05
2,256,0.7330909930872855,0.8025576172575964,2.7105921790713355e-05
2,512,0.7036679631894591,0.7598952788555158,2.9035976954868863e-05
2,1024,0.7089075797696995,0.8442947388045335,3.0997253599621e-05
2,2048,0.6975148714218709,0.8072633439526673,3.6580221993582586e-05
2,4096,0.6926274952237043,0.8009989819241043,4.610845020839146e-05
3,256,0.6892924130461199,0.7700416444773944,2.7472064608619328e-05
3,512,0.6856074420215386,0.7867245502054402,2.880323500860305e-05
3,1024,0.678822184654285,0.7186405472260502,3.1522342136928015e-05
3,2048,0.6727544324208022,0.6988025184832696,3.688676016671317e-05
3,4096,0.6591633524143906,0.6735596414928403,4.700819651285807e-05
4,256,0.6838502465645692,0.6696013149062906,2.7494771139962332e-05
4,512,0.701698913698737,0.6772284013259873,2.9061521802629742e-05
4,1024,0.717074496930382,0.7102375756623028,3.150531223842076e-05
4,2048,0.6960901950352294,0.6983482582651489,3.717343012491862e-05
4,4096,0.6837102500106995,0.6557482856581646,4.5674187796456476e-05
5,256,0.6709347586167135,0.6443376563944357,2.7687776656377883e-05
5,512,0.6721449162304406,0.6366117244819461,2.8519403366815477e-05
5,1024,0.6975403495209453,0.6597812750548784,3.123283386230469e-05
5,2048,0.7074027931360783,0.6653124350761508,3.605513345627558e-05
5,4096,0.6687136066628414,0.630892334621613,4.559471493675595e-05
6,256,0.6534848201614947,0.6531023356881394,2.733582542056129e-05
6,512,0.6661037982008587,0.6499084910445226,2.8973533993675594e-05
6,1024,0.6826360638166219,0.6088599424150481,3.129243850708008e-05
6,2048,0.69758654461914,0.690902241729494,3.5762786865234375e-05
6,4096,0.6884021230290694,0.6414433590681735,4.787955965314593e-05
7,256,0.6466057105961383,0.6632367380546818,2.7511801038469586e-05
7,512,0.6599944799220745,0.5918789100604419,2.931129364740281e-05
7,1024,0.6653174945386604,0.5835731080940021,3.143719264439174e-05
7,2048,0.6761686302205635,0.6480246459139811,3.5603841145833336e-05
7,4096,0.6748836792813651,0.6183367026351321,4.602897734869094e-05
8,256,0.6365962188519211,0.6392262027716468,2.7690614972795758e-05
8,512,0.651228563846354,0.5904068597300001,2.910409654889788e-05
8,1024,0.6569816440970389,0.5812549863103814,3.1088079724993024e-05
8,2048,0.6772607142856033,0.645606647154676,3.559248788016183e-05
8,4096,0.6717323876676946,0.6116988988478749,4.547834396362305e-05
9,256,0.6430311346881604,0.6524187804476486,2.742948986235119e-05
9,512,0.6590742315381988,0.597404650507406,2.9101258232480004e-05
9,1024,0.6583013728814356,0.5968261572648955,3.148828233991351e-05
9,2048,0.6843441607245627,0.6464953178350396,3.574291865030924e-05
9,4096,0.6765655855819789,0.6312040434981236,4.48283695039295e-05
10,256,0.6304900538444234,0.6378612997585317,2.750896272205171e-05
10,512,0.6526391034955324,0.5975942350437239,2.90899049668085e-05
10,1024,0.6574928290662868,0.5885164220720238,3.122999554588681e-05
10,2048,0.6759609433732751,0.6313937582678967,3.627936045328776e-05
10,4096,0.6854518565260233,0.6324821299665022,4.612548010689872e-05
